,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,bed_type,minimum_nights,price,price_pred
3288,strict_14_with_grace_period,f,2.0,Diamond Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,159.0,156.20325
2229,strict_14_with_grace_period,t,2.0,Twin Peaks,Guest suite,Private room,4.0,1.0,2.0,Real Bed,2.0,100.0,158.39972
1177,moderate,t,1.0,Outer Sunset,Guest suite,Entire home/apt,4.0,2.0,3.0,Real Bed,1.0,160.0,151.08838
2407,moderate,t,1.0,Western Addition,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,163.82117
6932,flexible,t,1.0,Crocker Amazon,House,Private room,1.0,1.0,1.0,Real Bed,2.0,125.0,72.618866
4203,flexible,t,12.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,30.0,48.0,53.119335
5349,strict_14_with_grace_period,f,1.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,250.0,168.6917
996,moderate,t,2.0,Castro/Upper Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,169.0,138.0632
5462,flexible,f,4.0,Ocean View,House,Private room,3.0,1.0,2.0,Real Bed,1.0,65.0,80.215355
1703,strict_14_with_grace_period,t,14.0,Inner Sunset,Apartment,Entire home/apt,6.0,2.0,3.0,Real Bed,30.0,120.0,232.52391
6966,strict_14_with_grace_period,t,4.0,South of Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,130.0,186.79578
2550,strict_14_with_grace_period,f,2.0,Parkside,House,Private room,2.0,1.0,1.0,Real Bed,4.0,79.0,95.48595
1920,moderate,f,2.0,Outer Mission,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,2.0,225.0,148.28137
500,moderate,f,2.0,Mission,Townhouse,Entire home/apt,4.0,2.0,2.0,Real Bed,5.0,549.0,276.90244
1957,moderate,f,1.0,Inner Richmond,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,265.0,164.74188
2081,strict_14_with_grace_period,t,2.0,Potrero Hill,House,Entire home/apt,8.0,3.0,4.0,Real Bed,30.0,500.0,315.6875
5348,strict_14_with_grace_period,f,6.0,Nob Hill,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,80.0,72.05359
6867,flexible,t,27.0,Inner Sunset,House,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,135.0,111.49388
2405,strict_14_with_grace_period,f,2.0,Mission,Apartment,Entire home/apt,5.0,1.0,2.0,Real Bed,2.0,153.0,202.23819
5813,moderate,f,852.0,Western Addition,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,215.0,194.5814
230,strict_14_with_grace_period,f,41.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,30.0,45.0,47.84389
752,moderate,f,2.0,Nob Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,136.54968
865,flexible,f,2.0,West of Twin Peaks,House,Private room,2.0,1.0,1.0,Real Bed,3.0,124.0,118.30221
1421,moderate,t,1.0,Western Addition,House,Entire home/apt,6.0,2.0,3.0,Real Bed,2.0,300.0,317.34204
3401,moderate,f,1.0,Inner Sunset,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,329.0,208.64294
6443,flexible,t,439.0,Western Addition,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,196.0,167.36191
6282,strict_14_with_grace_period,t,165.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,164.0,148.64807
511,flexible,f,3.0,Marina,Condominium,Entire home/apt,6.0,2.0,0.0,Real Bed,4.0,500.0,486.1326
4708,strict_14_with_grace_period,t,87.0,Mission,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,86.0,93.43315
5932,moderate,t,2.0,Noe Valley,House,Private room,2.0,1.0,1.0,Real Bed,1.0,440.0,114.59055
932,strict_14_with_grace_period,f,1.0,West of Twin Peaks,House,Entire home/apt,6.0,3.0,3.0,Real Bed,3.0,450.0,364.34384
1745,strict_14_with_grace_period,f,3.0,Marina,Apartment,Entire home/apt,4.0,2.0,3.0,Real Bed,30.0,485.0,208.60295
5660,moderate,t,1.0,Outer Richmond,Condominium,Private room,3.0,1.0,1.0,Real Bed,5.0,180.0,139.87926
2466,strict_14_with_grace_period,t,2.0,Glen Park,Guest suite,Entire home/apt,4.0,1.0,3.0,Real Bed,31.0,160.0,158.53787
5616,strict_14_with_grace_period,f,2.0,Outer Richmond,Apartment,Entire home/apt,5.0,2.0,3.0,Real Bed,5.0,325.0,231.79315
3569,moderate,t,2.0,Seacliff,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,169.0,175.73656
2765,moderate,t,31.0,South of Market,Serviced apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,189.0,142.48218
5897,moderate,f,2.0,Russian Hill,Condominium,Entire home/apt,5.0,2.0,1.0,Real Bed,30.0,165.0,329.222
101,strict_14_with_grace_period,f,41.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,30.0,40.0,47.84389
132,moderate,f,1.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,1.0,69.0,104.02088
6445,flexible,t,439.0,South of Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,360.0,226.17781
4057,moderate,f,8.0,Noe Valley,Apartment,Private room,6.0,2.0,4.0,Real Bed,30.0,260.0,173.21408
3724,moderate,f,4.0,Inner Sunset,House,Private room,2.0,1.0,1.0,Real Bed,1.0,78.0,110.87965
1500,moderate,t,3.0,Inner Richmond,House,Private room,2.0,1.0,1.0,Real Bed,1.0,65.0,105.166595
2158,strict_14_with_grace_period,f,799.0,Financial District,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,279.0,182.50206
79,strict_14_with_grace_period,t,4.0,Mission,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,166.0,134.09813
408,flexible,f,2.0,Inner Richmond,Apartment,Private room,2.0,1.0,2.0,Real Bed,2.0,150.0,122.150986
2125,strict_14_with_grace_period,f,4.0,Russian Hill,House,Entire home/apt,4.0,2.0,2.0,Real Bed,5.0,450.0,343.31042
6622,strict_14_with_grace_period,t,165.0,Marina,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,151.61314
6246,strict_14_with_grace_period,f,8.0,Western Addition,Apartment,Shared room,2.0,1.0,2.0,Real Bed,30.0,33.0,105.367035
6119,moderate,f,4.0,Ocean View,House,Entire home/apt,10.0,4.0,7.0,Real Bed,3.0,800.0,386.55194
3165,strict_14_with_grace_period,f,87.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,86.0,86.22489
5765,flexible,f,1.0,South of Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,160.0,144.43393
5916,moderate,t,2.0,Ocean View,House,Private room,4.0,2.0,2.0,Real Bed,2.0,150.0,141.00003
6738,flexible,f,1.0,Pacific Heights,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,57.0,103.29859
6504,strict,f,852.0,South of Market,Apartment,Entire home/apt,2.0,0.0,0.0,Real Bed,30.0,127.0,128.45389
3996,strict_14_with_grace_period,f,1.0,South of Market,Condominium,Private room,2.0,1.0,1.0,Real Bed,60.0,140.0,129.09425
3260,flexible,f,2.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,1.0,85.0,77.73853
5268,moderate,f,1.0,Castro/Upper Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,200.0,266.9404
2664,moderate,f,1.0,Potrero Hill,Apartment,Private room,2.0,0.0,1.0,Real Bed,30.0,67.0,103.178764
4186,strict_14_with_grace_period,t,2.0,South of Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,125.0,108.306984
3628,strict_14_with_grace_period,f,1.0,Seacliff,Townhouse,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,180.0,474.49625
1980,strict_14_with_grace_period,f,1.0,Mission,House,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,225.0,251.4652
1894,strict_14_with_grace_period,f,2.0,Outer Mission,House,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,298.0,226.3318
1748,strict_14_with_grace_period,t,3.0,Bernal Heights,Townhouse,Entire home/apt,5.0,2.0,3.0,Real Bed,1.0,350.0,265.59506
468,strict_14_with_grace_period,t,1.0,Mission,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,3.0,300.0,344.9012
6584,flexible,f,2.0,West of Twin Peaks,House,Private room,1.0,1.0,1.0,Real Bed,2.0,80.0,92.39116
5784,flexible,f,1.0,Pacific Heights,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,30.0,99.0,142.8262
4430,flexible,f,1.0,South of Market,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,150.0,162.74828
5064,strict_14_with_grace_period,f,64.0,Russian Hill,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,120.0,126.79118
3907,strict_14_with_grace_period,f,87.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,80.0,86.22489
2866,flexible,f,5.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,143.0,128.04803
429,moderate,f,1.0,Noe Valley,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,139.0,147.65999
5691,moderate,t,1.0,Excelsior,Apartment,Entire home/apt,5.0,2.0,3.0,Real Bed,1.0,149.0,168.30092
625,flexible,f,2.0,Outer Richmond,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,100.0,116.66003
6120,strict_14_with_grace_period,t,1.0,Haight Ashbury,Apartment,Entire home/apt,9.0,4.0,5.0,Real Bed,3.0,300.0,511.24716
970,strict_14_with_grace_period,f,4.0,Western Addition,Apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,30.0,175.0,143.75291
3900,flexible,t,1.0,Inner Richmond,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,90.0,134.95609
6295,strict_14_with_grace_period,t,165.0,Mission,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,164.0,139.33063
4371,strict_14_with_grace_period,t,4.0,Bayview,House,Private room,4.0,1.0,2.0,Real Bed,1.0,47.0,90.481895
2677,strict_14_with_grace_period,t,1.0,Inner Sunset,House,Private room,2.0,1.0,1.0,Real Bed,2.0,105.0,115.594406
5945,strict_14_with_grace_period,f,2.0,Mission,Condominium,Private room,2.0,1.0,1.0,Real Bed,2.0,300.0,126.0429
2339,moderate,f,1.0,South of Market,Loft,Private room,2.0,1.0,1.0,Pull-out Sofa,3.0,179.0,154.20792
3617,moderate,f,3.0,Mission,Condominium,Private room,4.0,1.0,2.0,Real Bed,1.0,140.0,146.32207
6861,strict,f,852.0,South of Market,Apartment,Entire home/apt,2.0,0.0,0.0,Real Bed,30.0,123.0,128.45389
6123,flexible,f,1.0,Noe Valley,House,Entire home/apt,4.0,2.0,2.0,Real Bed,4.0,300.0,271.11465
3550,moderate,f,1.0,Castro/Upper Market,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,3.0,250.0,251.59393
5591,flexible,t,4.0,Nob Hill,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,75.0,108.594215
5397,moderate,f,852.0,Western Addition,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,30.0,283.0,268.11084
1616,moderate,f,1.0,Haight Ashbury,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,2.0,140.0,166.10359
6661,moderate,f,1.0,Excelsior,Guest suite,Entire home/apt,2.0,0.0,1.0,Real Bed,1.0,100.0,96.85283
3284,flexible,t,12.0,Financial District,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,1.0,109.0,121.03757
1046,strict_14_with_grace_period,f,4.0,Castro/Upper Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,3.0,88.0,135.2509
960,flexible,f,1.0,Bayview,Apartment,Entire home/apt,3.0,1.0,1.0,Real Bed,90.0,130.0,134.35616
2095,strict_14_with_grace_period,f,2.0,Noe Valley,Apartment,Entire home/apt,4.0,2.0,3.0,Real Bed,30.0,175.0,204.60368
7042,flexible,t,8.0,Downtown/Civic Center,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,50.0,61.336235
5840,strict_14_with_grace_period,f,200.0,Downtown/Civic Center,Condominium,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,229.0,228.94458
6370,strict_14_with_grace_period,t,165.0,Western Addition,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,140.0,173.35564
1394,strict_14_with_grace_period,t,8.0,Noe Valley,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,155.0,91.55708
763,moderate,f,1.0,Mission,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,395.0,171.89171
3669,flexible,f,4.0,Haight Ashbury,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,150.0,119.34882
308,flexible,t,2.0,Mission,Condominium,Private room,2.0,1.0,1.0,Real Bed,1.0,125.0,116.13959
1074,moderate,t,1.0,Haight Ashbury,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,99.0,131.55882
4505,strict_14_with_grace_period,t,2.0,Haight Ashbury,Guesthouse,Entire home/apt,4.0,2.0,3.0,Real Bed,30.0,200.0,171.58852
185,moderate,f,1.0,Mission,House,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,145.0,154.93224
811,strict_14_with_grace_period,f,2.0,Western Addition,House,Entire home/apt,8.0,4.0,4.0,Real Bed,6.0,750.0,566.7743
5436,flexible,t,37.0,Financial District,Boutique hotel,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,250.0,189.95367
2982,strict_14_with_grace_period,t,1.0,Ocean View,Apartment,Entire home/apt,7.0,2.0,4.0,Real Bed,1.0,158.0,203.56824
5523,super_strict_30,t,27.0,North Beach,Townhouse,Entire home/apt,5.0,3.0,3.0,Real Bed,30.0,417.0,226.33705
1056,strict_14_with_grace_period,f,1.0,Pacific Heights,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,140.0,136.29968
4604,strict_14_with_grace_period,f,87.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,87.0,86.22489
5382,flexible,f,4.0,Haight Ashbury,House,Entire home/apt,10.0,5.0,6.0,Real Bed,3.0,800.0,667.1405
4340,flexible,t,1.0,Outer Sunset,Guest suite,Private room,6.0,1.0,2.0,Real Bed,3.0,180.0,140.22134
3152,moderate,t,7.0,Outer Sunset,House,Private room,4.0,2.0,2.0,Real Bed,1.0,129.0,138.55307
6919,moderate,t,1.0,Bernal Heights,House,Entire home/apt,4.0,1.0,2.0,Real Bed,2.0,150.0,180.65253
6354,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,147.0,148.82211
1371,strict_14_with_grace_period,f,8.0,Western Addition,Apartment,Private room,3.0,1.0,1.0,Real Bed,30.0,100.0,97.455956
1439,moderate,t,15.0,Marina,Hotel,Private room,2.0,1.0,1.0,Real Bed,1.0,109.0,115.27541
4783,moderate,f,852.0,Castro/Upper Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,189.0,141.34282
496,moderate,f,41.0,Western Addition,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,138.0,145.02184
4965,moderate,f,1.0,Mission,Condominium,Entire home/apt,6.0,3.0,4.0,Real Bed,1.0,599.0,344.73453
2847,strict_14_with_grace_period,t,3.0,Noe Valley,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,1.0,199.0,178.34691
3322,flexible,t,12.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,79.0,98.92377
2185,strict_14_with_grace_period,f,1.0,Parkside,House,Entire home/apt,6.0,3.0,3.0,Real Bed,2.0,164.0,304.49182
5364,flexible,f,5.0,Parkside,House,Shared room,1.0,1.0,1.0,Real Bed,30.0,38.0,50.593784
5008,strict_14_with_grace_period,t,2.0,Glen Park,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,150.0,155.7278
6889,strict_14_with_grace_period,t,6.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,1.0,67.0,66.57096
3542,moderate,f,1.0,Bernal Heights,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,85.0,128.71811
1887,strict_14_with_grace_period,f,1.0,Western Addition,Townhouse,Entire home/apt,8.0,4.0,4.0,Real Bed,3.0,800.0,624.9751
3077,strict_14_with_grace_period,f,2.0,South of Market,Loft,Entire home/apt,6.0,2.0,3.0,Real Bed,3.0,549.0,405.55087
2654,strict_14_with_grace_period,f,3.0,Inner Richmond,Condominium,Private room,2.0,1.0,1.0,Real Bed,30.0,85.0,112.095406
6222,strict_14_with_grace_period,t,4.0,Castro/Upper Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,173.0,190.45633
5329,flexible,t,37.0,Nob Hill,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,2.0,250.0,140.84557
5195,moderate,f,1.0,Castro/Upper Market,Guest suite,Entire home/apt,4.0,2.0,3.0,Real Bed,2.0,300.0,237.28151
642,strict_14_with_grace_period,f,2.0,Castro/Upper Market,Apartment,Entire home/apt,8.0,3.0,6.0,Real Bed,3.0,525.0,390.62546
5333,moderate,t,3.0,Outer Mission,Apartment,Private room,1.0,1.0,1.0,Real Bed,2.0,69.0,76.58783
1282,moderate,f,1.0,Castro/Upper Market,House,Private room,2.0,1.0,1.0,Real Bed,3.0,130.0,120.89055
2139,strict_14_with_grace_period,t,8.0,Mission,Hostel,Shared room,1.0,1.0,1.0,Real Bed,1.0,55.0,53.085114
3411,strict_14_with_grace_period,t,4.0,Mission,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,129.0,118.80262
1061,strict_14_with_grace_period,f,4.0,Inner Richmond,Condominium,Entire home/apt,6.0,3.0,4.0,Real Bed,2.0,395.0,451.71408
2303,moderate,f,2.0,South of Market,Apartment,Entire home/apt,5.0,2.0,2.0,Real Bed,30.0,200.0,211.23296
2848,strict_14_with_grace_period,f,129.0,Ocean View,House,Private room,2.0,1.0,1.0,Real Bed,30.0,150.0,117.6939
4599,strict_14_with_grace_period,t,14.0,Inner Sunset,Apartment,Private room,2.0,1.0,2.0,Real Bed,30.0,65.0,79.1284
6545,strict_14_with_grace_period,t,24.0,Financial District,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,5.0,200.0,166.80713
3033,moderate,f,1.0,Mission,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,475.0,233.37933
4902,flexible,t,53.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,2.0,Real Bed,1.0,75.0,92.80777
2120,strict_14_with_grace_period,f,1.0,Nob Hill,Apartment,Entire home/apt,8.0,3.0,4.0,Real Bed,1.0,499.0,823.1141
2345,strict_14_with_grace_period,f,44.0,Mission,Apartment,Entire home/apt,5.0,4.0,4.0,Real Bed,30.0,253.0,260.67966
5558,moderate,t,1.0,South of Market,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,2.0,200.0,192.66486
4593,strict_14_with_grace_period,t,4.0,Visitacion Valley,Townhouse,Entire home/apt,4.0,2.0,2.0,Real Bed,31.0,110.0,186.79282
1704,flexible,f,1.0,Nob Hill,House,Private room,1.0,1.0,1.0,Real Bed,140.0,200.0,94.07947
6605,strict_14_with_grace_period,f,1.0,Noe Valley,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,2.0,200.0,239.52483
3493,flexible,f,1.0,Noe Valley,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,200.0,151.25511
2844,flexible,t,1.0,Outer Sunset,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,1.0,80.0,106.66462
177,strict_14_with_grace_period,f,5.0,Haight Ashbury,House,Private room,4.0,1.0,2.0,Real Bed,1.0,98.0,138.36298
5778,strict_14_with_grace_period,f,1.0,Bayview,House,Private room,1.0,1.0,1.0,Real Bed,30.0,48.0,57.075214
3059,flexible,t,1.0,Haight Ashbury,Condominium,Private room,1.0,1.0,1.0,Real Bed,1.0,150.0,105.74063
1601,moderate,f,3.0,Haight Ashbury,Apartment,Private room,8.0,4.0,5.0,Real Bed,30.0,400.0,264.5234
1563,strict_14_with_grace_period,f,4.0,Twin Peaks,Apartment,Private room,3.0,1.0,2.0,Real Bed,30.0,90.0,109.38065
37,strict_14_with_grace_period,f,3.0,Bernal Heights,House,Entire home/apt,4.0,2.0,2.0,Real Bed,7.0,220.0,299.42725
1057,strict_14_with_grace_period,f,1.0,Potrero Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,126.0,129.66112
5120,strict_14_with_grace_period,f,799.0,South of Market,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,149.0,157.1902
4041,flexible,t,2.0,Pacific Heights,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,140.0,138.80794
6497,moderate,t,4.0,Visitacion Valley,House,Private room,4.0,2.0,3.0,Real Bed,31.0,95.0,144.2822
2183,moderate,t,6.0,Western Addition,Townhouse,Private room,2.0,1.0,1.0,Couch,1.0,115.0,114.116486
4418,moderate,t,1.0,Lakeshore,House,Private room,4.0,1.0,2.0,Real Bed,31.0,200.0,92.32583
4342,moderate,f,3.0,Outer Mission,House,Private room,1.0,1.0,1.0,Real Bed,5.0,78.0,76.55352
585,moderate,f,1.0,Russian Hill,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,550.0,452.82117
5221,strict,f,852.0,Chinatown,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,137.0,119.894196
7062,strict_14_with_grace_period,t,6.0,West of Twin Peaks,House,Private room,2.0,1.0,1.0,Real Bed,30.0,85.0,77.14399
5005,strict_14_with_grace_period,t,1.0,Western Addition,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,130.0,190.6557
6679,flexible,t,55.0,Downtown/Civic Center,Hostel,Shared room,1.0,1.0,1.0,Real Bed,32.0,27.0,45.632137
3310,strict_14_with_grace_period,f,1.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,30.0,123.0,75.76292
1802,strict_14_with_grace_period,f,4.0,Outer Sunset,House,Entire home/apt,6.0,3.0,3.0,Real Bed,30.0,219.0,228.09248
6913,flexible,t,5.0,Excelsior,House,Private room,4.0,1.0,2.0,Real Bed,1.0,79.0,83.23084
3151,moderate,f,2.0,Inner Sunset,House,Private room,3.0,1.0,2.0,Real Bed,30.0,63.0,97.824646
4233,moderate,f,3.0,Excelsior,House,Entire home/apt,5.0,3.0,4.0,Couch,30.0,155.0,197.92607
3544,moderate,f,1.0,Inner Sunset,House,Private room,7.0,3.0,4.0,Real Bed,2.0,400.0,296.95596
4504,moderate,t,1.0,Bernal Heights,Townhouse,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,180.0,144.37761
381,moderate,f,7.0,South of Market,Loft,Entire home/apt,2.0,1.0,2.0,Real Bed,30.0,249.0,149.94397
3585,strict_14_with_grace_period,f,2.0,Haight Ashbury,Apartment,Entire home/apt,4.0,0.0,2.0,Real Bed,30.0,105.0,135.14554
5414,strict_14_with_grace_period,t,41.0,Downtown/Civic Center,Serviced apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,2.0,95.0,98.663536
4422,flexible,f,8.0,Marina,Apartment,Entire home/apt,4.0,0.0,2.0,Real Bed,30.0,130.0,139.77007
6101,flexible,f,1.0,Noe Valley,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,239.0,151.25511
2796,strict_14_with_grace_period,f,2.0,Castro/Upper Market,House,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,345.0,178.6553
1415,moderate,f,1.0,Bernal Heights,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,139.0,217.03105
7095,moderate,t,2.0,Parkside,House,Private room,2.0,1.0,1.0,Real Bed,3.0,75.0,84.87916
5923,flexible,t,1.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,60.0,125.0,172.04051
5341,moderate,f,852.0,Nob Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,172.0,139.04056
6941,flexible,t,439.0,South of Market,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,217.0,172.39691
6946,flexible,t,1.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,1.0,250.0,106.18949
2133,flexible,f,2.0,South of Market,Apartment,Shared room,2.0,1.0,1.0,Real Bed,30.0,200.0,261.68738
1965,strict_14_with_grace_period,f,4.0,Twin Peaks,House,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,390.0,286.40836
263,moderate,f,4.0,Castro/Upper Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,95.0,126.86794
1401,strict_14_with_grace_period,f,1.0,Bernal Heights,Apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,2.0,299.0,178.86081
321,strict_14_with_grace_period,f,2.0,Outer Richmond,Apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,120.0,191.19296
